section,category,subcategory,question_no,question,option_a,option_b,option_c,option_d,option_e,verified_answer,answer_text,source_key,status,basis
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",116,Pakistan has _____ federating units.,4,5,6,None of these,,A,4,,ANSWER SUPPLIED BY REVIEW,four provinces
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",117,Pakistan became a member of the UN in:,1947,1948,1949,None of these,,A,1947,,ANSWER SUPPLIED BY REVIEW,1947
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",118,Pakistan is situated in:,Southeast Asia,East Asia,South Asia,None of these,,C,South Asia,,ANSWER SUPPLIED BY REVIEW,South Asia
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",119,Pakistan has borders with _____ and _____.,"Saudi Arabia, Iraq","China, Iran",Both A and B,None of these,,B,"China, Iran",,ANSWER SUPPLIED BY REVIEW,China and Iran
MPT Past Papers,Pakistan Affairs,"Politics, history and national facts",120,The National Anthem of Pakistan was officially adopted in:,1952,1954,1956,None of these,,B,1954,,ANSWER SUPPLIED BY REVIEW,1954
MPT Past Papers,World General Knowledge,International events and institutions,121,World Environment Day is celebrated each year on _____ June.,5,6,7,None of these,,A,5,A,VERIFIED — matches source,5 June
MPT Past Papers,World General Knowledge,International events and institutions,122,The Lapis Lazuli Corridor links Afghanistan to:,Iran,Turkey,Russia,None of these,,B,Turkey,B,VERIFIED — matches source,Turkey
MPT Past Papers,Geography,Physical geography,124,In which layer of the atmosphere are most of the clouds formed?,Mesosphere,Troposphere,Stratosphere,None of these,,B,Troposphere,B,VERIFIED — matches source,troposphere
MPT Past Papers,Geography,Physical geography,125,What information about an earthquake defines its size?,Magnitude,Depth of the epicenter,Energy released,All of these,,A,Magnitude,D,CORRECTED — source key was wrong,magnitude defines size; depth of epicentre does not
MPT Past Papers,Geography,Physical geography,126,_____ doesn't support any aquatic life:,Red Sea,Caspian Sea,Dead Sea,None of these,,C,Dead Sea,C,VERIFIED — matches source,Dead Sea
MPT Past Papers,Geography,Physical geography,127,The Falkland Islands are located near:,Australia,Argentina,UK,None of these,,B,Argentina,B,VERIFIED — matches source,Argentina
MPT Past Papers,Geography,Physical geography,128,The _____ is the world's largest inland body of water.,Caspian Sea,California Sea,Bering Sea,None of these,,A,Caspian Sea,A,VERIFIED — matches source,Caspian Sea
MPT Past Papers,Geography,World geography,129,Through which of the following countries does the Equator pass?,Pakistan,Malaysia,Kenya,None of these,,C,Kenya,,ANSWER SUPPLIED BY REVIEW,Kenya
MPT Past Papers,Geography,World geography,130,The world is divided into how many time zones?,12,18,24,None of these,,C,24,,ANSWER SUPPLIED BY REVIEW,24
MPT Past Papers,Geography,World geography,131,Which of the following is the warmest ocean?,Indian Ocean,Pacific Ocean,Atlantic Ocean,None of these,,A,Indian Ocean,,ANSWER SUPPLIED BY REVIEW,Indian Ocean
MPT Past Papers,Geography,World geography,132,Which is the smallest country in the world?,Vatican City,Maldives,Monaco,None of these,,A,Vatican City,,ANSWER SUPPLIED BY REVIEW,Vatican City
MPT Past Papers,Geography,World geography,133,_____ is known as the land of the rising sun.,Japan,Norway,Kenya,None of these,,A,Japan,,ANSWER SUPPLIED BY REVIEW,Japan
MPT Past Papers,Geography,World physical geography,134,Djibouti is strategically located at the mouth of which sea?,Mediterranean Sea,South China Sea,Red Sea,None of these,,C,Red Sea,C,VERIFIED — matches source,Red Sea
MPT Past Papers,Geography,World physical geography,135,The Horn of Africa (HoA) is located in which part of the African continent?,Eastern Africa,Western Africa,Northern Africa,None of these,,A,Eastern Africa,A,VERIFIED — matches source,Eastern Africa
MPT Past Papers,Geography,World physical geography,136,"Which important shipping lane, connecting the Arabian Sea to the Persian Gulf, passes through Pakistani waters and is vital for international trade?",Strait of Hormuz,Gulf of Aden,The Bab-el-Mandeb,None of these,,A,Strait of Hormuz,A,VERIFIED — matches source,FLAWED PREMISE: the Strait of Hormuz lies between Iran and Oman and does NOT pass through Pakistani waters. A is right about the strait only.
MPT Past Papers,Geography,World physical geography,137,"The world's highest battlefield, the Siachen Glacier, is located in which mountain range?",Himalayas,Karakoram,Hindu Kush,None of these,,B,Karakoram,B,VERIFIED — matches source,Karakoram
MPT Past Papers,History,International history,138,The South Sudan independence referendum was held in:,2011,2012,2013,None of these,,A,2011,A,VERIFIED — matches source,January 2011
MPT Past Papers,History,International history,139,Russia annexed Crimea from Ukraine in:,2012,2013,2014,None of these,,C,2014,C,VERIFIED — matches source,2014
MPT Past Papers,History,Modern world history,140,Which U.S. military operation in 2011 resulted in the death of Osama bin Laden in Pakistan?,Operation Enduring Freedom,Operation Eradicating Terrorism,Operation Neptune Spear,None of these,,C,Operation Neptune Spear,C,VERIFIED — matches source,Operation Neptune Spear
MPT Past Papers,History,South Asian history,141,In which of the following cities Indian National Congress was founded?,Delhi,Bombay,Kanpur,None of these,,B,Bombay,,ANSWER SUPPLIED BY REVIEW,"Bombay, 1885"
MPT Past Papers,History,South Asian history,142,The treaty of Srirangapatna was signed between Tipu Sultan and:,Robert Clive,Cornwallis,Warren Hastings,None of these,,B,Cornwallis,,ANSWER SUPPLIED BY REVIEW,"Lord Cornwallis, 1792"
MPT Past Papers,History,South Asian history,143,When Alexander invaded India?,552 BC,326 BC,44 BC,None of these,,B,326 BC,,ANSWER SUPPLIED BY REVIEW,326 BC
MPT Past Papers,History,South Asian history,144,Which Mughal Emperor died in 1556 after falling from stairs?,Shah Jahan,Humayun,Jalal-ud-Din Akbar,None of these,,B,Humayun,,ANSWER SUPPLIED BY REVIEW,Humayun
MPT Past Papers,History,South Asian history,145,"After India's Independence, Moulana Abdul Kalam Azad was appointed as:",Minister of Education,Speaker of the Lok Sabha,Minister of Finance,None of these,,A,Minister of Education,A,VERIFIED — matches source,Education Minister
MPT Past Papers,Everyday Science,"Energy, agriculture and food",146,Which of the following can be classified as renewable energy source?,Geothermal energy,Tidal energy,Biomass energy,All of these,,D,All of these,D,VERIFIED — matches source,all three are renewable
MPT Past Papers,Everyday Science,"Energy, agriculture and food",147,Nanocomposite materials are useful in food industry as they prevent packaged food from damage due to:,Oxygen,Carbon dioxide,Moisture,All of these,,D,All of these,D,VERIFIED — matches source,nanocomposite barriers block all three
MPT Past Papers,Everyday Science,Environment and pollution,148,"Give the name of the term ""SPM"" which is often used in the study of pollution:",Solid Particulate Matter,Sulfur Particulate Matter,Suspended Particulate Matter,None of these,,C,Suspended Particulate Matter,,ANSWER SUPPLIED BY REVIEW,Suspended Particulate Matter
MPT Past Papers,Everyday Science,General science,149,The instrument used to measure rainfall is:,Barometer,Hydrometer,Nanometer,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"rainfall is measured with a rain gauge, which is not listed"
MPT Past Papers,Physics,Electricity and radiation,150,"If output voltage is greater than input voltage, then transformer is:",Step up,Step down,Faulty,None of these,,A,Step up,A,VERIFIED — matches source,step-up
MPT Past Papers,Physics,Electricity and radiation,151,The voltage signal which is generated by microphone is called:,Digital,Analogue,Hybrid,None of these,,B,Analogue,B,VERIFIED — matches source,analogue
MPT Past Papers,Physics,Electricity and radiation,152,Electromagnetic radiation with maximum wavelength is:,Ultraviolet,Radio waves,Infrared,None of these,,B,Radio waves,B,VERIFIED — matches source,radio waves
MPT Past Papers,Physics,Electricity and radiation,153,The most dangerous type of radiation is:,Alpha radiation,Beta radiation,Gamma radiation,None of these,,C,Gamma radiation,C,VERIFIED — matches source,gamma
MPT Past Papers,Physics,Electricity and radiation,154,The solar energy is radiated in the form of:,Electromagnetic waves,Transverse waves,Infrared waves,None of these,,A,Electromagnetic waves,A,VERIFIED — matches source,electromagnetic waves
MPT Past Papers,Physics,Light,155,Why does the sky appear blue?,Due to scattering of light in the atmosphere,Due to the colour of gases in the atmosphere,Due to reflection from the Earth's surface,None of these,,A,Due to scattering of light in the atmosphere,A,VERIFIED — matches source,Rayleigh scattering
MPT Past Papers,Physics,Sound and measurement,156,Give the name of the range which an individual can make between the weakest and the loudest sounds:,Sensory range,Pitch range,Dynamic range,None of these,,C,Dynamic range,,ANSWER SUPPLIED BY REVIEW,dynamic range
MPT Past Papers,Physics,Sound and measurement,157,Decibel (dB) is the unit that can be used to measure the:,Sensation,Intensity of Sound Pressure,Vision,None of these,,B,Intensity of Sound Pressure,,ANSWER SUPPLIED BY REVIEW,sound pressure level
MPT Past Papers,Physics,"Waves, optics and astronomy",158,Which of the planets moves slowest around the Sun?,Venus,Mercury,Jupiter,None of these,,C,Jupiter,,ANSWER SUPPLIED BY REVIEW,"of the three listed, Jupiter is slowest; Neptune is truly slowest but is not an option"
MPT Past Papers,Physics,"Waves, optics and astronomy",159,The waves which are used by the TV remote control are:,Infrared waves,Radio waves,TV waves,None of these,,A,Infrared waves,,ANSWER SUPPLIED BY REVIEW,infrared
MPT Past Papers,Physics,"Waves, optics and astronomy",160,Which of the planets moves fastest around the Sun?,Venus,Mercury,Jupiter,None of these,,B,Mercury,,ANSWER SUPPLIED BY REVIEW,Mercury
MPT Past Papers,Physics,"Waves, optics and astronomy",161,Which of the following lenses is used in the microscope?,Convex lens,Concave lens,Curved lens,None of these,,A,Convex lens,,ANSWER SUPPLIED BY REVIEW,convex
MPT Past Papers,Chemistry,Everyday applications,162,"To clean the ice from the roads during the winter season, which of the following is used?",Chlorine,Salt,Iodine,None of these,,B,Salt,,ANSWER SUPPLIED BY REVIEW,salt lowers the freezing point
MPT Past Papers,Chemistry,Everyday applications,163,Which of the following gases is used in the refrigerator for cooling?,Methane,Ammonia,Nitrogen,None of these,,B,Ammonia,,ANSWER SUPPLIED BY REVIEW,ammonia
MPT Past Papers,Chemistry,Gases,164,Third most common gas that is found in the air we breathe is called:,Hydrogen,Neon,Argon,None of these,,C,Argon,C,VERIFIED — matches source,"argon, after nitrogen and oxygen"
MPT Past Papers,Chemistry,Gases,165,Which fuel is used in gas welding?,Acetylene,Methane,Ethylene,None of these,,A,Acetylene,A,VERIFIED — matches source,acetylene
MPT Past Papers,Chemistry,Metals and bonding,166,"The extraction of metal from its ore is done by ""smelting"", which involves:",Heating and chemical reduction,Heating and oxidation,Heating and electrolysis,None of these,,A,Heating and chemical reduction,A,VERIFIED — matches source,heating with chemical reduction
MPT Past Papers,Chemistry,Metals and bonding,167,The hardness of a hammer made of aluminium is due to the presence of:,Ionic bond,Covalent bond,Metallic bond,None of these,,C,Metallic bond,C,VERIFIED — matches source,metallic bonding
MPT Past Papers,Biology,"Cells, nutrition and agriculture",168,The study of human body cells is called:,Physiology,Cytology,Mycology,None of these,,B,Cytology,B,VERIFIED — matches source,cytology
MPT Past Papers,Biology,"Cells, nutrition and agriculture",169,Excessive bleeding during an injury is a deficiency of:,Vitamin B,Vitamin K,Vitamin E,None of these,,B,Vitamin K,B,VERIFIED — matches source,vitamin K
MPT Past Papers,Biology,"Cells, nutrition and agriculture",170,Maintenance of soil fertility without addition of extra nutrition is due to:,Floods,Crop residue,Microbial activity,None of these,,C,Microbial activity,C,VERIFIED — matches source,microbial activity
MPT Past Papers,Biology,Disease classification,172,"Malaria, polio, dengue fever and influenza are examples of:",Deficiency diseases,Infectious diseases,Physiological diseases,None of these,,B,Infectious diseases,B,VERIFIED — matches source,infectious
MPT Past Papers,Biology,Human biology,173,The fluid part of blood is known as:,Blood cells,Platelets,Plasma,None of these,,C,Plasma,C,VERIFIED — matches source,plasma
MPT Past Papers,Biology,Human biology and nutrition,174,The life span of red blood cells in humans is:,120 days,125 days,130 days,None of these,,A,120 days,,ANSWER SUPPLIED BY REVIEW,about 120 days
MPT Past Papers,Biology,Human biology and nutrition,175,How many fluids per day should a man use?,2.7 liters,3.7 liters,4.7 liters,None of these,,B,3.7 liters,,ANSWER SUPPLIED BY REVIEW,about 3.7 litres for men
MPT Past Papers,Biology,Human biology and nutrition,176,Deficiency of Vitamin A creates _____ in the human body.,Hair fall,Rickets,Night blindness,None of these,,C,Night blindness,,ANSWER SUPPLIED BY REVIEW,night blindness
MPT Past Papers,Biology,Human biology and nutrition,177,Which instrument is used to measure the oxygen level of the blood?,Thermometer,Oximeter,Spirometer,None of these,,B,Oximeter,,ANSWER SUPPLIED BY REVIEW,pulse oximeter
MPT Past Papers,Biology,Human biology and nutrition,178,Which type of vitamin is provided to the human body through the Sun?,Vitamin B12,Vitamin A,Vitamin D,None of these,,C,Vitamin D,,ANSWER SUPPLIED BY REVIEW,vitamin D
MPT Past Papers,Biology,Human biology and nutrition,179,Which blood group is rarest in the human body?,O,AB+,AB-,None of these,,C,AB-,,ANSWER SUPPLIED BY REVIEW,AB negative is the rarest
MPT Past Papers,Biology,Human biology and nutrition,180,Which light is more important for photosynthesis?,Violet light,Red light,Green light,None of these,,B,Red light,,ANSWER SUPPLIED BY REVIEW,red light drives photosynthesis most
MPT Past Papers,Biology,Human biology and nutrition,181,The instrument which is used to measure blood pressure is called:,Spirometer,Barometer,Sphygmomanometer,None of these,,C,Sphygmomanometer,,ANSWER SUPPLIED BY REVIEW,sphygmomanometer
MPT Past Papers,Biology,Human biology and nutrition,182,Vitamin B exists in:,Fruit and Vegetables,Seeds,Sea-food,None of these,,B,Seeds,,ANSWER SUPPLIED BY REVIEW,B vitamins are concentrated in seeds and wholegrains - low confidence
MPT Past Papers,Computer / Information Technology,Computer hardware,183,Give the name of the USB port which exists in all modern computers:,Universal Service Broadcasting,Universal Serial Bus,Uniform Service Broadcasting,None of these,,B,Universal Serial Bus,,ANSWER SUPPLIED BY REVIEW,Universal Serial Bus
MPT Past Papers,Computer / Information Technology,Hardware and artificial intelligence,184,Which component connects a computer to external peripherals such as printers and keyboards?,CPU,Motherboard,I/O Ports,Power Supply,,C,I/O Ports,,ANSWER SUPPLIED BY REVIEW,I/O ports
MPT Past Papers,Computer / Information Technology,Hardware and artificial intelligence,185,Which of the following is a branch of AI focused on enabling machines to understand and process human language?,Computer Vision,Natural Language Processing (NLP),Machine Learning,Robotics,,B,Natural Language Processing (NLP),,ANSWER SUPPLIED BY REVIEW,NLP
MPT Past Papers,Computer / Information Technology,Hardware and artificial intelligence,186,Drum printers belong to which of the following category?,Ink jet printer,Laser printer,Line printer,None of these,,C,Line printer,C,VERIFIED — matches source,line printer
MPT Past Papers,Computer / Information Technology,Hardware and artificial intelligence,187,Machine learning is sub area of:,Hardware Engineering,Artificial intelligence,Cyber forensics,None of these,,B,Artificial intelligence,B,VERIFIED — matches source,artificial intelligence
MPT Past Papers,Computer / Information Technology,Internet and personalities,188,Who is the founder of Wikipedia?,Julian Assange,Jimmy Wales,Bill Gates,None of these,,B,Jimmy Wales,,ANSWER SUPPLIED BY REVIEW,Jimmy Wales
MPT Past Papers,Computer / Information Technology,Networking,189,The protocol which assigns IP addresses to clients connected to the internet is:,Transmission Control Protocol,Dynamic Host Configuration Protocol,User Datagram Protocol,None of these,,B,Dynamic Host Configuration Protocol,B,VERIFIED — matches source,DHCP
MPT Past Papers,Computer / Information Technology,Networking,190,"In terms of Wi-Fi data throughput, the fastest transfer speeds are offered by which Wi-Fi standard?",802.11a,802.22g,802.11n,None of these,,C,802.11n,C,VERIFIED — matches source,802.11n of those listed
MPT Past Papers,International Organizations,Abbreviations and institutions,191,FATF stands for:,Financial Action Task Force,Federal Agency Task Force,Financial Authority Task Force,None of these,,A,Financial Action Task Force,,ANSWER SUPPLIED BY REVIEW,Financial Action Task Force
MPT Past Papers,International Organizations,Abbreviations and institutions,192,SAARC stands for:,South Asian Association for Regional Corporation,South Asian Association for Regional Cooperation,South Asian Association for Regional Council,None of these,,B,South Asian Association for Regional Cooperation,,ANSWER SUPPLIED BY REVIEW,Cooperation
MPT Past Papers,International Organizations,Abbreviations and institutions,193,OIC stands for:,Organization of Islamic Conference,Organization of Islamic Countries,Organization of Islamic Cooperation,None of these,,C,Organization of Islamic Cooperation,,ANSWER SUPPLIED BY REVIEW,"Cooperation, renamed 2011"
MPT Past Papers,International Organizations,Agreements and international relations,194,"What global agreement, signed in 2015, aimed to limit global warming to well below 2 degrees Celsius above pre-industrial levels?",Kyoto Protocol,Paris Agreement,Copenhagen Accord,None of these,,B,Paris Agreement,B,VERIFIED — matches source,Paris Agreement
MPT Past Papers,International Organizations,Agreements and international relations,195,Which international organization or group is responsible for the implementation of the B3W Initiative?,United Nations (UN),Group of Seven (G7),NATO,None of these,,B,Group of Seven (G7),B,VERIFIED — matches source,G7
MPT Past Papers,International Organizations,Agreements and international relations,196,The Regional Comprehensive and Economic Partnership (RCEP) is a free trade agreement among the nations of:,North America,Europe,Asia-Pacific,None of these,,C,Asia-Pacific,C,VERIFIED — matches source,Asia-Pacific
MPT Past Papers,International Organizations,Agreements and international relations,197,The AIIB (Asian Infrastructure Investment Bank) was established by:,Asian Development Bank,ASEAN,Group of Seven (G7) countries,China and some other Asian countries,,D,China and some other Asian countries,D,VERIFIED — matches source,China with other Asian states
MPT Past Papers,International Organizations,Agreements and international relations,198,"What does the ""I2-U2"" alliance stand for?",India-Israel-Ukraine-US,India-Israel-US-UAE,Italy-Israel-Ukraine-UK,None of these,,B,India-Israel-US-UAE,B,VERIFIED — matches source,India-Israel-US-UAE
MPT Past Papers,International Organizations,Agreements and international relations,199,"""G-2 or Group of Two"" is an informal diplomacy between:",Germany and Greece,US and China,Germany and Ghana,None of these,,B,US and China,B,VERIFIED — matches source,US and China
MPT Past Papers,International Organizations,Agreements and international relations,200,The Belt and Road Initiative (BRI) consists of two main components: the Silk Road Economic Belt and:,The Desert Oasis Corridor,The Himalayan Trade Route,The 21st Century Maritime Silk Road,None of these,,C,The 21st Century Maritime Silk Road,C,VERIFIED — matches source,21st Century Maritime Silk Road
MPT Past Papers,International Organizations,Agreements and international relations,201,The Southeast Asia Treaty Organization (SEATO) formally came to an end in:,1977,1988,1991,None of These,,A,1977,A,VERIFIED — matches source,1977
MPT Past Papers,International Organizations,Agreements and international relations,202,"What does ""CARICOM"" stand for?","Canada, Austria, Romania, India-Community",Caribbean Community,"Canada, Argentina, Russia, Italy-Community",None of these,,B,Caribbean Community,B,VERIFIED — matches source,Caribbean Community
MPT Past Papers,International Organizations,Agreements and international relations,203,What does BECA stand for?,Basic Exchange and Cooperation Agreement,Bilateral Exchange and Cooperation Accord,Basic Economic and Cultural Agreement,None of these,,A,Basic Exchange and Cooperation Agreement,A,VERIFIED — matches source,Basic Exchange and Cooperation Agreement
MPT Past Papers,International Organizations,"Membership, leadership and agreements",205,There are _____ members in NATO.,26,27,28,None of these,,D,None of these,D,VERIFIED — matches source,"30 at the time, 32 since Sweden joined - none of the numbers listed"
MPT Past Papers,International Organizations,"Membership, leadership and agreements",206,"The former Secretary-General of the UN, Mr. Kofi Annan, belonged to:",Ghana,Kenya,Nigeria,None of these,,A,Ghana,A,VERIFIED — matches source,Ghana
MPT Past Papers,International Organizations,"Membership, leadership and agreements",207,NAFTA stands for:,North African Free Trade Agreement,North Atlantic Free Trade Agreement,North American Free Trade Agreement,None of these,,C,North American Free Trade Agreement,C,VERIFIED — matches source,North American Free Trade Agreement
MPT Past Papers,International Organizations,"Membership, leadership and agreements",208,The UN Sustainable Development Goals are intended to be achieved by:,2030,2035,2040,None of these,,A,2030,A,VERIFIED — matches source,2030
MPT Past Papers,International Organizations,Regional organizations,209,ECOWAS is a union of states in:,Latin America,Africa,East Asia,None of these,,B,Africa,B,VERIFIED — matches source,West Africa
MPT Past Papers,International Organizations,Source-period leadership and membership,210,Who is the newly elected President of the World Bank in 2024?,Ajay Banga,David Malpass,Ngozi Okonjo-Iweala,None of these,,A,Ajay Banga,,ANSWER SUPPLIED BY REVIEW,Ajay Banga
MPT Past Papers,International Organizations,Source-period leadership and membership,212,"Which of the following famous Personalities Chaired ""G-7 Summit"" 2024?",Joe Biden,Malala Yousafzai,Georgia Meloni,None of these,,C,Georgia Meloni,,ANSWER SUPPLIED BY REVIEW,"Italy chaired the 2024 G7, so Giorgia Meloni"
MPT Past Papers,International Organizations,Source-period leadership and membership,213,The term of President of Asian Infrastructure Investment Bank is: _____ Years?,3 Years,4 Years,5 Years,None of these,,C,5 Years,,ANSWER SUPPLIED BY REVIEW,5 years
MPT Past Papers,International Organizations,Source-period leadership and membership,214,"Which country recently withdrew from OPEC effective on January 1, 2024?",Indonesia,Iran,Angola,None of these,,C,Angola,,ANSWER SUPPLIED BY REVIEW,"Angola, effective 1 Jan 2024"
MPT Past Papers,Current Affairs,Events and appointments referenced in the 2023 paper,215,World Religion Day 2021 was celebrated on _____ January.,13,14,15,None of these,,D,None of these,B,CORRECTED — source key was wrong,"World Religion Day is the third Sunday of January - 17 January in 2021, not 13/14/15"
MPT Past Papers,Current Affairs,Events and appointments referenced in the 2023 paper,216,_____ is the Afghan Foreign Minister:,Abdul Ghani,Mullah Yaqoob,Amir Khan Muttaqi,None of these,,C,Amir Khan Muttaqi,C,VERIFIED — matches source,Amir Khan Muttaqi
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,217,_____ will be the next leap year.,2022,2023,2024,None of these,,C,2024,,ANSWER SUPPLIED BY REVIEW,2024
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,218,COP26 was held in which country?,UK,USA,France,None of these,,A,UK,,ANSWER SUPPLIED BY REVIEW,"Glasgow, UK"
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,219,The present Speaker of Pakistan's National Assembly is:,Asad Qaisar,Asad Umar,Qasim Suri,None of these,,A,Asad Qaisar,,ANSWER SUPPLIED BY REVIEW,OUTDATED: Asad Qaiser was Speaker when this paper was set; he is not the present Speaker
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,221,The Summit for Democracy was held in _____ in December 2021.,New York,London,Washington,None of these,,C,Washington,,ANSWER SUPPLIED BY REVIEW,"hosted by the US, Washington"
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,222,The Single National Curriculum in Pakistan was implemented at the primary level in:,2019,2020,2021,None of these,,C,2021,,ANSWER SUPPLIED BY REVIEW,2021
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,223,The present Federal Minister of State for Climate Change in Pakistan is:,Zartaj Gul,Amin Aslam,Zulfiqar Bukhari,None of these,,A,Zartaj Gul,,ANSWER SUPPLIED BY REVIEW,OUTDATED: Zartaj Gul held the post at the time
MPT Past Papers,Current Affairs,Source-period world affairs,224,What is the name of the recent cyclone that hit the eastern coast of India in 2024?,Amphan,Biparjoy,Fani,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"the May 2024 cyclone was Remal; Amphan, Biparjoy and Fani are earlier storms"
MPT Past Papers,Current Affairs,Source-period world affairs,225,According to The Copernicus Climate Change Service (C3S) which was the hottest day ever registered globally for 2024?,June 23,July 15,July 21,None of these,,C,July 21,,ANSWER SUPPLIED BY REVIEW,"21 July 2024 was announced as the hottest day, then broken the next day"
MPT Past Papers,Current Affairs,Source-period world affairs,227,Which country is set to impose the World's first Carbon tax on livestock emission recently?,Sweden,Norway,Denmark,None of these,,C,Denmark,,ANSWER SUPPLIED BY REVIEW,Denmark
MPT Past Papers,Current Affairs,Source-period world affairs,229,"The theme of ""World Music Day"" 2024 is:",Music and culture are twins of nature,Music is the food of Soul,Faites de la musique (Make Music),None of these,,C,Faites de la musique (Make Music),,ANSWER SUPPLIED BY REVIEW,"""Faites de la musique"" is the event's original French name - low confidence"
MPT Past Papers,Current Affairs,Source-period world affairs,230,China gave a Peace Plan for the Ukraine war in 2023. How many points were included in China's peace plan?,6,10,12,None of these,,C,12,C,VERIFIED — matches source,12 points
MPT Past Papers,Current Affairs,Source-period world affairs,231,Which country hosted the regular meeting of the SCO Foreign Ministers Council in 2023?,China,India,Uzbekistan,None of these,,B,India,B,VERIFIED — matches source,India hosted at Goa
MPT Past Papers,Current Affairs,Source-period world affairs,232,"When was the ""Made in China 2025"" strategic plan initiated?",2010,2015,2020,None of these,,B,2015,B,VERIFIED — matches source,2015
MPT Past Papers,Current Affairs,Source-period world affairs,233,Which nation holds the distinction of being the top investor in Africa by 2023?,United States,China,Russia,None of these,,B,China,B,VERIFIED — matches source,China
MPT Past Papers,Politics and Government,Government and international politics,234,How many countries are declared nuclear powers?,7,8,9,None of these,,C,9,,ANSWER SUPPLIED BY REVIEW,9 states possess nuclear weapons
MPT Past Papers,Politics and Government,Government and international politics,235,Washington D.C. is the _____ state of the USA.,48th,49th,50th,None of these,,D,None of these,,ANSWER SUPPLIED BY REVIEW,"Washington DC is a federal district, not a state"
MPT Past Papers,Politics and Government,Government and international politics,236,The Upper House of the British Parliament is:,Senate,House of Lords,House of Commons,None of these,,B,House of Lords,,ANSWER SUPPLIED BY REVIEW,House of Lords
MPT Past Papers,Politics and Government,Government and international politics,237,Hamas is an Islamic organization working for the:,Liberation of Palestine,Liberation of Chechnya,Liberation of Kashmir,None of these,,A,Liberation of Palestine,,ANSWER SUPPLIED BY REVIEW,Palestine
MPT Past Papers,Politics and Government,International relations terminology,238,"What term describes the use of information warfare, disinformation, and other means to manipulate and undermine the influence of other countries?",Soft power,Sharp power,Smart power,None of these,,B,Sharp power,B,VERIFIED — matches source,sharp power
MPT Past Papers,Economics,Money and interest,239,"""Dear Money"" is used for:",Low rate of Interest,High rate of Interest,Value of money,None of these,,B,High rate of Interest,,ANSWER SUPPLIED BY REVIEW,dear money = a high interest rate
MPT Past Papers,Sports,Commonwealth Games,240,Pakistan won _____ gold medals at the 2022 Commonwealth Games.,Two,Three,Four,None of these,,A,Two,A,VERIFIED — matches source,two golds at Birmingham 2022
MPT Past Papers,Sports,Cricket,241,The T-Twenty 2021 World Cup Champion is:,Pakistan,New Zealand,Australia,None of these,,C,Australia,,ANSWER SUPPLIED BY REVIEW,Australia
MPT Past Papers,Sports,Source-period sporting events,242,Which country won the FIFA Women's World Cup in 2023?,USA,Spain,England,None of these,,B,Spain,,ANSWER SUPPLIED BY REVIEW,Spain
MPT Past Papers,Sports,Source-period sporting events,243,Which country will host the 2026 Winter Olympics?,China,Japan,Italy,None of these,,C,Italy,,ANSWER SUPPLIED BY REVIEW,"Milan-Cortina, Italy"
MPT Past Papers,Sports,Source-period sporting events,244,Qatar to become first Muslim country to host Basketball World Cup in:,2024,2025,2027,None of these,,C,2027,,ANSWER SUPPLIED BY REVIEW,2027
MPT Past Papers,Sports,Source-period sporting events,245,Who smashed the fastest Double Century in the history of Women's test Cricket?,Shafali Verma,Bismah Maroof,Suzie Bates,None of these,,A,Shafali Verma,,ANSWER SUPPLIED BY REVIEW,Shafali Verma
MPT Past Papers,Sports,Source-period sporting events,246,"Who won the ""Austrian Grand Prix"" 2024?",George Russel,Andrew Clarke,Chris Lewis,None of these,,A,George Russel,,ANSWER SUPPLIED BY REVIEW,George Russell
MPT Past Papers,Sports,Special Olympics,247,The 2023 Special Olympics were held in:,Germany,Belgium,Portugal,None of these,,A,Germany,A,VERIFIED — matches source,"Berlin, Germany"
MPT Past Papers,Books and Authors,Literature,248,"نظم ""مسجد قرطبہ"" علامہ اقبال کے کس مجموعہ کلام میں شامل ہے؟",بانگ درا,بال جبریل,ضرب کلیم,ارمغان حجاز,,B,بال جبریل,B,VERIFIED — matches source,Bal-e-Jibril
MPT Past Papers,Books and Authors,Literature,249,"""مقدمہ شعر و شاعری"" کے مصنف کون ہیں؟",سر سید احمد خان,الطاف حسین حالی,شبلی نعمانی,ان میں سے کوئی نہیں,,B,الطاف حسین حالی,B,VERIFIED — matches source,Altaf Hussain Hali
MPT Past Papers,Books and Authors,Literature,250,"Who wrote the book ""Train to Pakistan"", which is set during the Partition of India in 1947?",Bapsi Sidhwa,Amrita Pritam,Khushwant Singh,None of these,,C,Khushwant Singh,C,VERIFIED — matches source,Khushwant Singh
MPT Past Papers,Books and Authors,Pakistan-related books,251,"The author of ""Governing the Ungovernable"" is:",Shuja Nawaz,Ishrat Hussain,Hassan Askari,None of these,,B,Ishrat Hussain,,ANSWER SUPPLIED BY REVIEW,Ishrat Husain
