id,word,pronunciation_arpabet,primary_part_of_speech,primary_definition,synonyms,examples,source_list_count,priority_tier,source,ranking_source_url,verified_on
"vocab-0190","conspicuous","K AH0 N S P IH1 K Y UW0 AH0 S","adjective","obvious to the eye or mind","[]","[""a tower conspicuous at a great distance"",""wore conspicuous neckties"",""made herself conspicuous by her exhibitionistic preening""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0191","curmudgeon","K ER0 M AH1 JH IH0 N","noun","a crusty irascible cantankerous old person full of stubborn ideas  ","[]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0192","demur","D IH0 M ER1","verb","enter a demurrer  ","[""except"",""demurral"",""demurrer""]","[""he demurred at my suggestion to work on Saturday""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0193","desultory","D EH1 S AH0 L T AO2 R IY0","adjective","marked by lack of definite plan or regularity or purpose","[]","[""jumping from one thing to another"",""desultory thoughts"",""the desultory conversation characteristic of cocktail parties""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0194","diffident","","adjective","lacking self-confidence","[""shy"",""timid"",""unsure""]","[""stood in the doorway diffident and abashed"",""problems that call for bold not timid responses"",""a very unsure young man"",""she was diffident when offering a comment on the professor's lecture""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0195","dilatory","D IH1 L AH0 T AO2 R IY0","adjective","wasting time  ","[""laggard"",""poky"",""pokey""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0196","disingenuous","D IH0 S IH0 N JH EH1 N Y UW0 AH0 S","adjective","not straightforward or candid","[""artful""]","[""giving a false appearance of frankness"",""an ambitious, disingenuous, philistine, and hypocritical operator, who...exemplified...the most disagreeable traits of his time- David Cannadine"",""a disingenuous excuse""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0197","disparage","D IH0 S P EH1 R IH0 JH","verb","express a negative opinion of","[""belittle"",""pick at""]","[""She disparaged her student's efforts""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0198","dogmatic","D AA0 G M AE1 T IH0 K","adjective","relating to or involving dogma","[""dogmatical""]","[""dogmatic writings""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0199","egregious","IH0 G R IY1 JH AH0 S","adjective","conspicuously and outrageously bad or reprehensible","[""crying(a)"",""flagrant"",""glaring"",""gross"",""rank""]","[""a crying shame"",""an egregious lie"",""flagrant violation of human rights"",""a glaring error""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0200","elucidate","IH0 L UW1 S AH0 D EY2 T","verb","make free from confusion or ambiguity","[""clear"",""clear up"",""shed light on"",""crystallize"",""crystallise"",""crystalize"",""crystalise"",""straighten out"",""sort out"",""enlighten""]","[""make clear"",""Could you clarify these remarks?"",""Clear up the question of who is at fault"",""clarify the mystery surrounding her death""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0201","euphemism","Y UW1 F AH0 M IH2 Z AH0 M","noun","an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh  ","[]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0202","exculpate","EH2 K S K AH1 L P EY0 T","verb","pronounce not guilty of criminal charges","[""acquit"",""assoil"",""clear"",""discharge"",""exonerate""]","[""The suspect was cleared of the murder charges""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0203","exorbitant","IH0 G Z AO1 R B IH0 T AH0 N T","adjective","greatly exceeding bounds of reason or moderation","[""extortionate"",""outrageous"",""steep"",""unconscionable"",""usurious""]","[""exorbitant rent"",""extortionate prices"",""spends an outrageous amount on entertainment"",""usurious interest rate""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0204","extraneous","EH0 K S T R EY1 N IY0 AH0 S","adjective","not belonging to that in which it is contained","[""foreign"",""immaterial"",""impertinent"",""orthogonal""]","[""introduced from an outside source"",""water free of extraneous matter"",""foreign particles in milk"",""the ballet struck me as extraneous and somewhat out of keeping with the rest of the play""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0205","fallacious","F AH0 L EY1 SH AH0 S","adjective","based on an incorrect or misleading notion or information","[""unsound""]","[""fallacious hope"",""fallacious reasoning"",""an unsound argument""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0206","fawn","F AO1 N","verb","have fawns","[""toady"",""truckle"",""bootlick"",""kowtow"",""kotow"",""suck up"",""crawl"",""creep"",""cringe"",""cower""]","[""deer fawn"",""He is always kowtowing to his boss""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0207","flag","F L AE1 G","verb","decorate with flags","[]","[""the building was flagged for the holiday"",""Flag this file so that I can recognize it immediately""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0208","foment","F OW1 M EH0 N T","verb","bathe with warm water or medicated lotions","[]","[""His legs should be fomented""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0209","fortuitous","F AO0 R T UW1 IH0 T AH0 S","adjective","occurring by happy chance","[]","[""profits were enhanced by a fortuitous drop in the cost of raw materials""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0210","futile","F Y UW1 T AH0 L","adjective","producing no result or effect","[""ineffectual"",""otiose"",""unavailing"",""meaningless""]","[""a futile effort"",""the therapy was ineffectual"",""an otiose undertaking"",""an unavailing attempt""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0211","germane","JH ER0 M EY1 N","adjective","relevant and appropriate","[""germane(p)""]","[""he asks questions that are germane and central to the issue""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0212","goad","G OW1 D","verb","stab or urge on as if with a pointed stick  ","[""prick"",""goading"",""prod"",""prodding"",""urging"",""spur"",""spurring""]","[""the ceaseless prodding got on his nerves""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0213","grandiloquent","G R AE0 N D IH1 L AH0 K W AH0 N T","adjective","puffed up with vanity","[""overblown"",""pompous"",""pontifical"",""portentous"",""magniloquent"",""tall""]","[""a grandiloquent and boastful manner"",""overblown oratory"",""a pompous speech"",""pseudo-scientific gobbledygook and pontifical hooey- Newsweek""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0214","grovel","G R AA1 V AH0 L","verb","show submission or fear  ","[""fawn"",""crawl"",""creep"",""cringe"",""cower""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0215","halcyon","HH AE1 L S IY0 AH0 N","adjective","idyllically calm and peaceful","[]","[""suggesting happy tranquillity"",""a halcyon atmosphere""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0216","iconoclast","AY2 K AA1 N AH0 K L AE2 S T","noun","someone who attacks cherished ideas or traditional institutions  ","[""image breaker""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0217","idiosyncrasy","IH2 D IY0 OW0 S IH1 N K R AH0 S IY2","noun","a behavioral attribute that is distinctive and peculiar to an individual  ","[""foible"",""mannerism""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0218","impede","IH2 M P IY1 D","verb","be a hindrance or obstacle to","[""hinder""]","[""She is impeding the progress of our project""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0219","impervious","IH2 M P ER1 V IY0 AH0 S","adjective","not admitting of passage or capable of being affected","[""imperviable""]","[""a material impervious to water"",""someone impervious to argument""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0220","impugn","IH2 M P Y UW1 N","verb","attack as false or wrong  ","[]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0221","inscrutable","IH2 N S K R UW1 T AH0 B AH0 L","adjective","of an obscure nature","[""cryptic"",""cryptical"",""deep"",""mysterious"",""mystifying""]","[""the new insurance policy is written without cryptic or mysterious terms"",""a deep dark secret"",""the inscrutable workings of Providence"",""in its mysterious past it encompasses all the dim origins of life- Rachel Carson""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0222","intimate","IH1 N T AH0 M AH0 T","adjective","thoroughly acquainted through study or experience","[""knowledgeable"",""versed"",""sexual""]","[""this girl, so intimate with nature-W.H.Hudson"",""knowledgeable about the technique of painting- Herbert Read"",""the intimate (or sexual) relations between husband and wife"",""she had been intimate with many men""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0223","intransigent","IH2 N T R AE1 N S AH0 JH AH0 N T","adjective","impervious to pleas, persuasion, requests, reason","[""adamant"",""adamantine"",""inexorable""]","[""he is adamant in his refusal to change his mind"",""Cynthia was inexorable"",""she would have none of him- W.Churchill"",""an intransigent conservative opposed to every liberal tendency""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0224","invective","IH2 N V EH1 K T IH0 V","noun","abusive or venomous language used to express blame or censure or bitter deep-seated ill will  ","[""vituperation"",""vitriol""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0225","irresolute","","adjective","uncertain how to act or proceed","[]","[""the committee was timid and mediocre and irresolute""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0226","itinerant","AY0 T IH1 N ER0 AH0 N T","adjective","traveling from place to place to work","[""gypsy"",""gipsy""]","[""itinerant labor"",""an itinerant judge"",""itinerant traders""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0227","lethargic","L AH0 TH AA1 R JH IH0 K","adjective","deficient in alertness or activity","[""unenergetic""]","[""bullfrogs became lethargic with the first cold nights""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0228","levity","L EH1 V IH0 T IY0","noun","a manner lacking seriousness  ","[]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0229","malevolent","M AH0 L EH1 V AH0 L AH0 N T","adjective","wishing or appearing to wish evil to others","[]","[""arising from intense ill will or hatred"",""a gossipy malevolent old woman"",""failure made him malevolent toward those who were successful""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0230","miscreant","M IH1 S K R IY0 AH0 N T","noun","a person without moral scruples  ","[""reprobate""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0231","nominal","N AA1 M AH0 N AH0 L","adjective","existing in name only","[""titular""]","[""the nominal (or titular) head of his party"",""the nominal GDP"",""nominal interest rates"",""nominal phrase""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0232","oblique","AH0 B L IY1 K","adjective","slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled","[""oblique case""]","[""the oblique rays of the winter sun"",""acute and obtuse angles are oblique angles"",""the axis of an oblique cone is not perpendicular to its base""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0233","ossify","AA1 S AH0 F AY2","verb","cause to become hard and bony","[]","[""The disease ossified the tissue"",""The tissue ossified""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0234","patent","P AE1 T AH0 N T","adjective","(of a bodily tube or passageway) open","[]","[""affording free passage"",""patent ductus arteriosus"",""His behavior has patented an embarrassing fact about him"",""grant a patent for""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0235","pedestrian","P AH0 D EH1 S T R IY0 AH0 N","adjective","lacking wit or imagination","[""prosaic"",""prosy"",""earthbound"",""walker"",""footer""]","[""a pedestrian movie plot""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0236","pellucid","","adjective","(of language) transparently clear","[""limpid"",""lucid"",""luculent"",""crystal clear"",""perspicuous"",""crystalline"",""transparent""]","[""easily understandable"",""writes in a limpid style"",""lucid directions"",""a luculent oration- Robert Burton""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0237","perennial","P ER0 EH1 N IY0 AH0 L","adjective","recurring again and again","[""recurrent"",""repeated""]","[""perennial efforts to stipulate the requirements"",""suggesting self-renewal"",""perennial happiness"",""the common buttercup is a popular perennial plant""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0238","pernicious","P ER0 N IH1 SH AH0 S","adjective","working or spreading in a hidden and usually injurious way","[""insidious"",""subtle"",""baneful"",""deadly"",""pestilent""]","[""glaucoma is an insidious disease"",""a subtle poison""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0239","pervasive","P ER0 V EY1 S IH0 V","adjective","spreading or spread throughout","[""permeant"",""permeating"",""permeative""]","[""armed with permeative irony...he punctures affectations"",""the pervasive odor of garlic"",""an error is pervasive if it is material to more than one conclusion""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0240","petulant","P EH1 CH AH0 L AH0 N T","adjective","easily irritated or annoyed","[""cranky"",""fractious"",""irritable"",""nettlesome"",""peevish"",""peckish"",""pettish"",""scratchy"",""testy"",""tetchy""]","[""an incorrigibly fractious young man"",""not the least nettlesome of his countrymen""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0241","pithy","P IH1 TH IY0","adjective","concise and full of meaning","[""sententious""]","[""welcomed her pithy comments"",""the peculiarly sardonic and sententious style in which Don Luis composed his epigrams- Hervey Allen""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0242","pragmatic","P R AE0 G M AE1 T IH0 K","adjective","of or concerning the theory of pragmatism  ","[""pragmatical""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0243","prodigious","P R AH0 D IH1 JH AH0 S","adjective","far beyond what is usual in magnitude or degree","[""exceeding"",""exceptional"",""olympian"",""surpassing"",""portentous"",""colossal"",""stupendous""]","[""a night of exceeding darkness"",""an exceptional memory"",""olympian efforts to save the city from bankruptcy"",""the young Mozart's prodigious talents""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0244","proliferate","P R OW0 L IH1 F ER0 EY2 T","verb","cause to grow or increase rapidly","[]","[""We must not proliferate nuclear arms"",""Pizza parlors proliferate in this area""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0245","propensity","P R AH0 P EH1 N S IH0 T IY0","noun","a disposition to behave in a certain way","[""aptness"",""proclivity"",""leaning"",""tendency""]","[""the aptness of iron to rust"",""the propensity of disease to spread"",""he has a proclivity for exaggeration"",""he felt leanings toward frivolity""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0246","propitious","P R AH0 P IH1 SH AH0 S","adjective","presenting favorable circumstances","[]","[""likely to result in or show signs of success"",""propitious omens"",""propitious gales speeded us along"",""a propitious alignment of planets for space exploration""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0247","prosaic","P R OW0 Z EY1 IH0 K","adjective","not challenging","[""commonplace"",""humdrum"",""unglamorous"",""unglamourous"",""pedestrian"",""prosy"",""earthbound"",""matter-of-fact""]","[""dull and lacking excitement"",""an unglamorous job greasing engines"",""a pedestrian movie plot"",""local guides describe the history of various places in matter-of-fact tones""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0248","provincial","P R AH0 V IH1 N SH AH0 L","noun","(Roman Catholic Church) an official in charge of an ecclesiastical province acting under the superior general of a religious order","[]","[""the general of the Jesuits receives monthly reports from the provincials""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0249","puerile","P Y UW0 R IY1 L","adjective","of or characteristic of a child","[]","[""puerile breathing""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0250","querulous","K W EH1 R AH0 L AH0 S","adjective","habitually complaining","[""fretful"",""whiney"",""whiny""]","[""a whiny child""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0251","quixotic","K W IH0 K S AA1 T IH0 K","adjective","not sensible about practical matters","[""romantic"",""wild-eyed""]","[""idealistic and unrealistic"",""as quixotic as a restoration of medieval knighthood"",""a romantic disregard for money"",""a wild-eyed dream of a world state""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0252","redoubtable","R IY0 D AW1 T AH0 B AH0 L","adjective","worthy of respect or honor","[]","[""born of a redoubtable family""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0253","refractory","R AH0 F R AE1 K T ER0 IY0","adjective","temporarily unresponsive or not fully responsive to a process or stimulus","[""stubborn""]","[""the refractory period of a muscle fiber"",""a stubborn infection"",""a refractory case of acne"",""stubborn rust stains""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0254","reprobate","R EH1 P R AO0 B EY0 T","verb","abandon to eternal damnation","[""miscreant""]","[""God reprobated the unrepenting sinner""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0255","reverent","R EH1 V ER0 AH0 N T","adjective","feeling or showing profound respect or veneration","[]","[""maintained a reverent silence""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0256","rhetoric","R EH1 T ER0 IH0 K","noun","study of the technique and rules for using language effectively (especially in public speaking)  ","[]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0257","sanguine","S AE1 NG G W IH0 N","adjective","confidently optimistic and cheerful  ","[""sanguineous""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0258","scrupulous","S K R UW1 P Y AH0 L AH0 S","adjective","having scruples","[]","[""arising from a sense of right and wrong"",""principled"",""less scrupulous producers sent bundles that were deceptive in appearance""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0259","spartan","S P AA1 R T AH0 N","adjective","resolute in the face of pain or danger or adversity","[]","[""spartan courage""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0260","superfluous","S UW1 P ER0 F L W AH2 S","adjective","more than is needed, desired, or required","[""excess"",""extra"",""redundant"",""spare"",""supererogatory"",""supernumerary"",""surplus"",""otiose"",""pointless"",""purposeless""]","[""trying to lose excess weight"",""found some extra change lying on the dresser"",""yet another book on heraldry might be thought redundant"",""skills made redundant by technological advance""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0261","surfeit","S ER1 F AH0 T","verb","indulge (one's appetite) to satiety  ","[""cloy"",""excess"",""overabundance""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0262","sycophant","","noun","a person who tries to please someone in order to gain a personal advantage  ","[""toady"",""crawler"",""lackey"",""ass-kisser""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0263","timorous","T IH1 M ER0 AH0 S","adjective","timid by nature or revealing timidity","[""fearful"",""trepid""]","[""timorous little mouse"",""in a timorous tone"",""cast fearful glances at the large dog""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0264","torpor","T AO1 R P ER0","noun","a state of motor and mental inactivity with a partial suspension of sensibility","[""torpidity""]","[""he fell into a deep torpor""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0265","transient","T R AE1 N ZH AH0 N T","noun","(physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load  ","[]","[""transient laborers""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0266","trite","T R AY1 T","adjective","repeated too often","[""banal"",""commonplace"",""hackneyed"",""old-hat"",""shopworn"",""stock(a)"",""threadbare"",""timeworn"",""tired"",""well-worn""]","[""overfamiliar through overuse"",""bromidic sermons"",""his remarks were trite and commonplace"",""hackneyed phrases""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0267","turpitude","T ER1 P IH0 T UW2 D","noun","a corrupt or depraved or degenerate act or practice","[""depravity""]","[""the various turpitudes of modern society""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0268","tyro","","noun","someone new to a field or activity  ","[""novice"",""beginner"",""tiro"",""initiate""]","[]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0269","vociferous","V OW0 S IH1 F ER0 AH0 S","adjective","conspicuously and offensively loud","[""blatant"",""clamant"",""clamorous"",""strident""]","[""given to vehement outcry"",""blatant radios"",""a clamorous uproar"",""strident demands""]","9","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
